,var_name,Contrast,A,B,Paired,Parametric,T,dof,Tail,p-unc,p-corr,p-adjust,BF10,cohen
0,F2bandwidth_sma3nz_stddevNorm,task,book,pic,True,True,-3.221915516434342,230.0,two-sided,0.0014577014859383558,0.0014577014859383558,fdr_bh,11.098,-0.11510462384621822
1,F2bandwidth_sma3nz_stddevNorm,task,book,vac,True,True,-21.1319537564517,230.0,two-sided,8.382475429892986e-56,2.5147426289678957e-55,fdr_bh,2.027e+52,-1.4383380176537264
2,F2bandwidth_sma3nz_stddevNorm,task,pic,vac,True,True,-18.218898604346812,230.0,two-sided,1.6559027503297115e-46,2.4838541254945676e-46,fdr_bh,1.241e+43,-1.2797981244527967
0,F2amplitudeLogRelF0_sma3nz_amean,task,book,pic,True,True,9.675302645483606,230.0,two-sided,8.539198267832807e-19,8.539198267832807e-19,fdr_bh,5.528e+15,0.4212025849789462
1,F2amplitudeLogRelF0_sma3nz_amean,task,book,vac,True,True,21.52791819462876,230.0,two-sided,4.887126811610034e-57,1.4661380434830103e-56,fdr_bh,3.395e+53,1.269263074168849
2,F2amplitudeLogRelF0_sma3nz_amean,task,pic,vac,True,True,13.42076324547611,230.0,two-sided,1.0262266074508756e-30,1.5393399111763134e-30,fdr_bh,2.993e+27,0.7628984983964745
0,F2amplitudeLogRelF0_sma3nz_stddevNorm,task,book,pic,True,True,-11.753102318463666,230.0,two-sided,2.74295944679675e-25,2.74295944679675e-25,fdr_bh,1.335e+22,-0.5455208439715937
1,F2amplitudeLogRelF0_sma3nz_stddevNorm,task,book,vac,True,True,-21.472373233167062,230.0,two-sided,7.273440188734168e-57,2.1820320566202507e-56,fdr_bh,2.289e+53,-1.3099182085126222
2,F2amplitudeLogRelF0_sma3nz_stddevNorm,task,pic,vac,True,True,-12.445695800962428,230.0,two-sided,1.5842176630121905e-27,2.3763264945182857e-27,fdr_bh,2.143e+24,-0.7260410240027637
0,F3frequency_sma3nz_amean,task,book,pic,True,True,-4.5283708818292014,230.0,two-sided,9.54392686738287e-06,1.4315890301074304e-05,fdr_bh,1208.316,-0.34733247498202996
1,F3frequency_sma3nz_amean,task,book,vac,True,True,-5.220472739246863,230.0,two-sided,3.9873204421199554e-07,1.1961961326359867e-06,fdr_bh,2.482e+04,-0.4150531500592149
2,F3frequency_sma3nz_amean,task,pic,vac,True,True,-2.2093901740728605,230.0,two-sided,0.028133707796240352,0.028133707796240352,fdr_bh,0.8,-0.10660069925315244
0,F3frequency_sma3nz_stddevNorm,task,book,pic,True,True,-6.249429651710451,230.0,two-sided,1.9778331560654658e-09,5.933499468196397e-09,fdr_bh,4.084e+06,-0.4152621277587577
1,F3frequency_sma3nz_stddevNorm,task,book,vac,True,True,-2.2508985155108614,230.0,two-sided,0.025337314398269712,0.025337314398269712,fdr_bh,0.875,-0.13831787743380977
2,F3frequency_sma3nz_stddevNorm,task,pic,vac,True,True,3.697795259451986,230.0,two-sided,0.00027200574150029267,0.000408008612250439,fdr_bh,52.1,0.25144458681892384
0,F3bandwidth_sma3nz_amean,task,book,pic,True,True,-2.3935555169034592,230.0,two-sided,0.017488709604870912,0.017488709604870912,fdr_bh,1.205,-0.09235042099086617
1,F3bandwidth_sma3nz_amean,task,book,vac,True,True,14.498392870220195,230.0,two-sided,2.8684514370832474e-34,4.302677155624871e-34,fdr_bh,9.666e+30,0.8251377722370395
2,F3bandwidth_sma3nz_amean,task,pic,vac,True,True,18.90774616686723,230.0,two-sided,9.768447856804714e-49,2.9305343570414145e-48,fdr_bh,2.005e+45,1.0336596834932308
0,F3bandwidth_sma3nz_stddevNorm,task,book,pic,True,True,-2.095476709850661,230.0,two-sided,0.03722249199434902,0.03722249199434902,fdr_bh,0.631,-0.08390263075416948
1,F3bandwidth_sma3nz_stddevNorm,task,book,vac,True,True,-20.242800360019366,230.0,two-sided,5.274505597148421e-53,1.5823516791445265e-52,fdr_bh,3.401e+49,-1.2444910706033425
2,F3bandwidth_sma3nz_stddevNorm,task,pic,vac,True,True,-18.98931205081126,230.0,two-sided,5.333574382107385e-49,8.000361573161078e-49,fdr_bh,3.651e+45,-1.140609664350624
